NO_OUVRAGE,DATE,SURVERSE,sumMcTavish,maxMcTavish,sumBellevue,maxBellevue,sumAssomption,maxAssomption,sumTrudeau,maxTrudeau,sumStHubert,maxStHubert
4350-01D,2013-05-01,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-05-02,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-05-03,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-05-04,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-05-05,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-05-06,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-05-07,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-05-08,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-05-09,0,10,10,,0,19,19,0,0,8,6
4350-01D,2013-05-10,0,0,0,,4,20,20,0,0,2,2
4350-01D,2013-05-11,0,106,39,,105,190,60,138,57,86,29
4350-01D,2013-05-12,0,0,0,,0,10,10,0,0,1,1
4350-01D,2013-05-13,0,10,10,,0,0,0,0,0,6,6
4350-01D,2013-05-14,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-05-15,0,40,16,,0,10,10,10,10,25,11
4350-01D,2013-05-16,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-05-17,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-05-18,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-05-19,0,12,12,,21,0,0,32,14,7,7
4350-01D,2013-05-20,0,64,27,,19,90,50,38,17,51,19
4350-01D,2013-05-21,0,40,16,,51,50,30,39,21,30,10
4350-01D,2013-05-22,0,26,26,,0,0,0,0,0,16,16
4350-01D,2013-05-23,0,232,144,,92,240,80,108,54,172,90
4350-01D,2013-05-24,0,52,26,,63,70,20,59,15,39,17
4350-01D,2013-05-25,0,116,22,,56,98,30,79,18,81,16
4350-01D,2013-05-26,0,116,25,,132,159,30,172,24,91,19
4350-01D,2013-05-27,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-05-28,0,11,11,,0,0,0,0,0,7,7
4350-01D,2013-05-29,0,146,75,,80,50,30,189,67,97,47
4350-01D,2013-05-30,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-05-31,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-06-01,0,222,180,,93,30,20,117,100,142,114
4350-01D,2013-06-02,0,68,25,,152,140,80,121,35,59,25
4350-01D,2013-06-03,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-06-04,0,24,24,,0,0,0,0,0,15,15
4350-01D,2013-06-05,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-06-06,0,50,18,,65,30,20,45,9,34,11
4350-01D,2013-06-07,0,83,20,,112,150,31,78,17,68,15
4350-01D,2013-06-08,0,80,26,,53,50,19,61,23,55,17
4350-01D,2013-06-09,0,0,0,,0,10,10,0,0,1,1
4350-01D,2013-06-10,0,0,0,,0,10,10,0,0,1,1
4350-01D,2013-06-11,1,358,50,,310,350,50,304,50,264,36
4350-01D,2013-06-12,0,30,16,,75,10,10,37,16,20,10
4350-01D,2013-06-13,0,0,0,,0,20,20,0,0,2,2
4350-01D,2013-06-14,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-06-15,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-06-16,0,124,42,,95,100,30,103,31,89,30
4350-01D,2013-06-17,0,0,0,,0,10,10,0,0,1,1
4350-01D,2013-06-18,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-06-19,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-06-20,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-06-21,0,0,0,,0,0,0,0,0,0,0
4350-01D,2013-06-22,0,102,20,,102,70,30,115,21,72,15
