McTavish,Bellevue,Assomption,Trudeau,StHubert,heure,date
0,0,0,0,0,0,2013-05-01
0,0,0,0,0,1,2013-05-01
0,0,0,0,0,2,2013-05-01
0,0,0,0,0,3,2013-05-01
0,0,0,0,0,4,2013-05-01
0,0,0,0,0,5,2013-05-01
0,0,0,0,0,6,2013-05-01
0,0,0,0,0,7,2013-05-01
0,0,0,0,0,8,2013-05-01
0,0,0,0,0,9,2013-05-01
0,0,0,0,0,10,2013-05-01
0,0,0,0,0,11,2013-05-01
0,0,0,0,0,12,2013-05-01
0,0,0,0,0,13,2013-05-01
0,0,0,0,0,14,2013-05-01
0,0,0,0,0,15,2013-05-01
0,0,0,0,0,16,2013-05-01
0,0,0,0,0,17,2013-05-01
0,0,0,0,0,18,2013-05-01
0,0,0,0,0,19,2013-05-01
0,0,0,0,0,20,2013-05-01
0,0,0,0,0,21,2013-05-01
0,0,0,0,0,22,2013-05-01
0,0,0,0,0,23,2013-05-01
0,0,0,0,0,0,2013-05-02
0,0,0,0,0,1,2013-05-02
0,0,0,0,0,2,2013-05-02
0,0,0,0,0,3,2013-05-02
0,0,0,0,0,4,2013-05-02
0,0,0,0,0,5,2013-05-02
0,0,0,0,0,6,2013-05-02
0,0,0,0,0,7,2013-05-02
0,0,0,0,0,8,2013-05-02
0,0,0,0,0,9,2013-05-02
0,0,0,0,0,10,2013-05-02
0,0,0,0,0,11,2013-05-02
0,0,0,0,0,12,2013-05-02
0,0,0,0,0,13,2013-05-02
0,0,0,0,0,14,2013-05-02
0,0,0,0,0,15,2013-05-02
0,0,0,0,0,16,2013-05-02
0,0,0,0,0,17,2013-05-02
0,0,0,0,0,18,2013-05-02
0,0,0,0,0,19,2013-05-02
0,0,0,0,0,20,2013-05-02
0,0,0,0,0,21,2013-05-02
0,0,0,0,0,22,2013-05-02
0,0,0,0,0,23,2013-05-02
0,0,0,0,0,0,2013-05-03
0,0,0,0,0,1,2013-05-03
0,0,0,0,0,2,2013-05-03
0,0,0,0,0,3,2013-05-03
0,0,0,0,0,4,2013-05-03
0,0,0,0,0,5,2013-05-03
0,0,0,0,0,6,2013-05-03
0,0,0,0,0,7,2013-05-03
0,0,0,0,0,8,2013-05-03
0,0,0,0,0,9,2013-05-03
0,0,0,0,0,10,2013-05-03
0,0,0,0,0,11,2013-05-03
0,0,0,0,0,12,2013-05-03
0,0,0,0,0,13,2013-05-03
0,0,0,0,0,14,2013-05-03
0,0,0,0,0,15,2013-05-03
0,0,0,0,0,16,2013-05-03
0,0,0,0,0,17,2013-05-03
0,0,0,0,0,18,2013-05-03
0,0,0,0,0,19,2013-05-03
0,0,0,0,0,20,2013-05-03
0,0,0,0,0,21,2013-05-03
0,0,0,0,0,22,2013-05-03
0,0,0,0,0,23,2013-05-03
0,0,0,0,0,0,2013-05-04
0,0,0,0,0,1,2013-05-04
0,0,0,0,0,2,2013-05-04
0,0,0,0,0,3,2013-05-04
0,0,0,0,0,4,2013-05-04
0,0,0,0,0,5,2013-05-04
0,0,0,0,0,6,2013-05-04
0,0,0,0,0,7,2013-05-04
0,0,0,0,0,8,2013-05-04
0,0,0,0,0,9,2013-05-04
0,0,0,0,0,10,2013-05-04
0,0,0,0,0,11,2013-05-04
0,0,0,0,0,12,2013-05-04
0,0,0,0,0,13,2013-05-04
0,0,0,0,0,14,2013-05-04
0,0,0,0,0,15,2013-05-04
0,0,0,0,0,16,2013-05-04
0,0,0,0,0,17,2013-05-04
0,0,0,0,0,18,2013-05-04
0,0,0,0,0,19,2013-05-04
0,0,0,0,0,20,2013-05-04
0,0,0,0,0,21,2013-05-04
0,0,0,0,0,22,2013-05-04
0,0,0,0,0,23,2013-05-04
0,0,0,0,0,0,2013-05-05
