McTavish,Bellevue,Assomption,Trudeau,StHubert
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
10,0,19,0,7
0,4,20,0,6
106,105,190,138,134
0,0,10,0,2
10,0,0,0,2
0,0,0,0,0
40,0,10,10,15
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
12,21,0,32,16
64,19,90,38,54
40,51,50,39,45
26,0,0,0,6
232,92,240,108,169
52,63,70,59,60
116,56,98,79,87
116,132,159,172,145
0,0,0,0,0
11,0,0,0,3
146,80,50,189,117
0,0,0,0,0
0,0,0,0,0
222,93,30,117,116
68,152,140,121,121
0,0,0,0,0
24,0,0,0,6
0,0,0,0,0
50,65,30,45,47
83,112,150,78,106
80,53,50,61,61
0,0,10,0,2
0,0,10,0,2
358,310,350,304,331
30,75,10,37,37
0,0,20,0,5
0,0,0,0,0
0,0,0,0,0
124,95,100,103,106
0,0,10,0,2
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
102,102,70,115,97
0,0,0,0,0
117,49,600,63,207
0,102,10,40,38
10,38,40,0,22
0,0,0,0,0
275,204,250,171,223
0,0,10,0,2
0,0,0,0,0
0,0,0,0,0
0,0,20,0,5
0,0,10,0,2
0,0,0,0,0
0,10,0,15,6
0,0,0,0,0
138,55,0,69,65
10,9,0,15,8
0,0,0,0,0
187,3,80,21,72
0,0,0,0,0
10,0,0,0,2
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
240,86,20,220,142
10,0,0,23,8
140,275,210,209,209
60,66,30,52,52
0,0,0,0,0
0,0,0,0,0
394,27,100,107,156
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
94,206,120,110,134
66,46,0,28,35
18,0,0,0,4
0,0,0,0,0
102,118,160,72,113
0,0,0,0,0
0,189,270,5,115
12,0,21,0,8
0,0,0,0,0
0,0,0,0,0
0,24,0,0,6
0,0,200,0,50
72,47,0,61,45
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
104,121,280,109,154
48,16,20,31,29
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,10,0,2
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
212,142,90,67,128
0,0,10,0,2
0,0,10,0,2
10,0,20,4,8
70,74,20,37,50
0,0,0,0,0
10,0,0,42,12
0,0,0,0,0
138,109,120,176,136
0,0,0,0,0
0,0,0,0,0
215,75,190,196,170
10,0,0,0,2
0,0,0,0,0
0,0,10,0,2
0,0,0,0,0
0,0,0,0,0
0,0,0,3,1
0,0,0,0,0
22,21,10,21,17
51,98,80,53,69
362,371,100,320,287
0,38,0,30,17
0,0,0,0,0
12,6,0,3,5
86,81,60,108,84
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
88,55,160,83,96
85,60,50,73,65
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
36,42,50,53,45
206,107,140,128,144
10,0,0,0,2
0,0,10,0,2
2082,0,0,0,520
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
24,21,70,28,36
0,0,0,0,0
12,25,0,7,12
114,78,80,113,96
58,34,42,45,46
0,14,0,16,8
60,26,68,46,50
0,0,0,0,0
16,16,40,13,21
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
38,36,30,25,31
10,6,20,3,9
28,11,10,15,15
0,0,0,0,0
0,0,0,0,0
202,185,160,183,182
106,104,224,90,131
0,5,80,0,21
14,0,0,5,5
211,174,100,179,166
11,0,0,3,4
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
22,20,0,6,12
68,62,110,68,78
0,0,0,0,0
0,0,0,0,0
0,36,0,3,10
0,0,0,0,0
0,0,11,0,3
152,277,92,195,181
300,152,261,192,226
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
44,0,0,2,11
0,0,0,0,0
0,0,20,0,5
22,29,0,38,22
72,19,20,30,36
86,10,170,39,75
10,0,12,2,5
0,0,0,0,0
11,9,20,15,2
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
318,463,330,209,274
0,0,0,0,0
0,0,0,0,2
6,0,14,0,8
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,4,0,0,0
16,29,0,15,19
282,310,270,319,228
303,218,380,393,222
116,20,310,24,111
2,0,10,0,0
0,0,0,0,0
129,175,78,150,113
131,54,162,90,219
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
526,494,782,435,394
22,0,27,0,61
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
5,0,20,0,0
0,0,0,0,0
17,7,20,30,15
8,0,0,0,30
0,0,0,0,0
60,52,12,90,86
119,119,276,62,19
1,0,0,0,5
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
92,117,33,97,129
0,0,0,0,0
22,15,40,21,14
0,0,0,0,2
2,7,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
83,115,40,113,67
0,0,0,0,0
0,0,0,0,0
4,0,0,0,0
152,80,80,91,125
132,116,120,82,169
2,0,0,0,0
12,0,20,5,0
146,150,379,123,119
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
6,0,0,0,2
14,0,270,0,0
6,0,0,11,5
10,17,0,53,2
