McTavish,Bellevue,Assomption,Trudeau,StHubert,date
0,0,0,0,0,2013-05-01
0,0,0,0,0,2013-05-02
0,0,0,0,0,2013-05-03
0,0,0,0,0,2013-05-04
0,0,0,0,0,2013-05-05
0,0,0,0,0,2013-05-06
0,0,0,0,0,2013-05-07
0,0,0,0,0,2013-05-08
10,0,19,0,7,2013-05-09
0,4,20,0,2,2013-05-10
52,54,110,74,45,2013-05-11
0,0,10,0,1,2013-05-12
10,0,0,0,7,2013-05-13
0,0,0,0,0,2013-05-14
28,0,10,10,20,2013-05-15
0,0,0,0,0,2013-05-16
0,0,0,0,0,2013-05-17
0,0,0,0,0,2013-05-18
12,11,0,14,8,2013-05-19
52,15,50,25,38,2013-05-20
16,28,30,21,14,2013-05-21
26,0,0,0,17,2013-05-22
144,63,130,58,106,2013-05-23
26,21,20,20,21,2013-05-24
36,21,50,25,31,2013-05-25
41,33,60,46,38,2013-05-26
0,0,0,0,0,2013-05-27
11,0,0,0,7,2013-05-28
75,43,30,67,54,2013-05-29
0,0,0,0,0,2013-05-30
0,0,0,0,0,2013-05-31
222,93,30,117,161,2013-06-01
32,113,80,59,30,2013-06-02
0,0,0,0,0,2013-06-03
24,0,0,0,16,2013-06-04
0,0,0,0,0,2013-06-05
22,22,20,16,18,2013-06-06
31,45,41,28,27,2013-06-07
40,32,19,27,30,2013-06-08
0,0,10,0,1,2013-06-09
0,0,10,0,1,2013-06-10
85,64,80,81,71,2013-06-11
16,22,10,21,14,2013-06-12
0,0,20,0,2,2013-06-13
0,0,0,0,0,2013-06-14
0,0,0,0,0,2013-06-15
58,39,60,46,49,2013-06-16
0,0,10,0,1,2013-06-17
0,0,0,0,0,2013-06-18
0,0,0,0,0,2013-06-19
0,0,0,0,0,2013-06-20
0,0,0,0,0,2013-06-21
34,29,30,31,25,2013-06-22
0,0,0,0,0,2013-06-23
44,20,290,29,53,2013-06-24
0,97,10,40,4,2013-06-25
10,38,40,0,7,2013-06-26
0,0,0,0,0,2013-06-27
143,85,142,85,115,2013-06-28
0,0,10,0,1,2013-06-29
0,0,0,0,0,2013-06-30
0,0,0,0,0,2013-07-01
0,0,20,0,2,2013-07-02
0,0,10,0,1,2013-07-03
0,0,0,0,0,2013-07-04
0,10,0,15,2,2013-07-05
0,0,0,0,0,2013-07-06
138,44,0,64,97,2013-07-07
10,9,0,12,8,2013-07-08
0,0,0,0,0,2013-07-09
176,3,80,14,116,2013-07-10
0,0,0,0,0,2013-07-11
10,0,0,0,7,2013-07-12
0,0,0,0,0,2013-07-13
0,0,0,0,0,2013-07-14
0,0,0,0,0,2013-07-15
0,0,0,0,0,2013-07-16
240,82,20,210,181,2013-07-17
10,0,0,20,9,2013-07-18
70,250,108,142,54,2013-07-19
48,54,20,47,39,2013-07-20
0,0,0,0,0,2013-07-21
0,0,0,0,0,2013-07-22
258,16,100,84,169,2013-07-23
0,0,0,0,0,2013-07-24
0,0,0,0,0,2013-07-25
0,0,0,0,0,2013-07-26
0,0,0,0,0,2013-07-27
50,72,70,70,42,2013-07-28
66,46,0,28,46,2013-07-29
18,0,0,0,12,2013-07-30
0,0,0,0,0,2013-07-31
92,91,160,69,82,2013-08-01
0,0,0,0,0,2013-08-02
0,171,240,5,20,2013-08-03
12,0,11,0,8,2013-08-04
0,0,0,0,0,2013-08-05
0,0,0,0,0,2013-08-06
0,21,0,0,0,2013-08-07
0,0,200,0,17,2013-08-08
72,47,0,61,54,2013-08-09
0,0,0,0,0,2013-08-10
0,0,0,0,0,2013-08-11
0,0,0,0,0,2013-08-12
57,118,250,93,48,2013-08-13
36,9,10,16,25,2013-08-14
0,0,0,0,0,2013-08-15
0,0,0,0,0,2013-08-16
0,0,0,0,0,2013-08-17
0,0,10,0,1,2013-08-18
0,0,0,0,0,2013-08-19
0,0,0,0,0,2013-08-20
0,0,0,0,0,2013-08-21
91,95,50,23,62,2013-08-22
0,0,10,0,1,2013-08-23
0,0,10,0,1,2013-08-24
10,0,20,4,9,2013-08-25
60,74,20,37,45,2013-08-26
0,0,0,0,0,2013-08-27
10,0,0,42,7,2013-08-28
0,0,0,0,0,2013-08-29
80,46,70,103,67,2013-08-30
0,0,0,0,0,2013-08-31
0,0,0,0,0,2013-09-01
125,47,93,96,96,2013-09-02
10,0,0,0,7,2013-09-03
0,0,0,0,0,2013-09-04
0,0,10,0,1,2013-09-05
0,0,0,0,0,2013-09-06
0,0,0,0,0,2013-09-07
0,0,0,3,0,2013-09-08
0,0,0,0,0,2013-09-09
12,9,10,8,8,2013-09-10
38,84,50,53,25,2013-09-11
114,136,60,116,84,2013-09-12
0,35,0,25,3,2013-09-13
0,0,0,0,0,2013-09-14
12,6,0,3,8,2013-09-15
48,51,40,78,43,2013-09-16
0,0,0,0,0,2013-09-17
0,0,0,0,0,2013-09-18
0,0,0,0,0,2013-09-19
0,0,0,0,0,2013-09-20
64,28,81,41,54,2013-09-21
32,38,20,38,24,2013-09-22
0,0,0,0,0,2013-09-23
0,0,0,0,0,2013-09-24
0,0,0,0,0,2013-09-25
0,0,0,0,0,2013-09-26
0,0,0,0,0,2013-09-27
0,0,0,0,0,2013-09-28
0,0,0,0,0,2013-09-29
0,0,0,0,0,2013-09-30
0,0,0,0,0,2013-10-01
0,0,0,0,0,2013-10-02
0,0,0,0,0,2013-10-03
0,0,0,0,0,2013-10-04
0,0,0,0,0,2013-10-05
22,21,50,32,22,2013-10-06
112,45,80,82,86,2013-10-07
10,0,0,0,7,2013-10-08
0,0,10,0,1,2013-10-09
2082,0,0,0,1361,2013-10-10
0,0,0,0,0,2013-10-11
0,0,0,0,0,2013-10-12
0,0,0,0,0,2013-10-13
12,11,60,22,15,2013-10-14
0,0,0,0,0,2013-10-15
12,11,0,7,9,2013-10-16
102,78,70,105,84,2013-10-17
34,22,30,34,28,2013-10-18
0,14,0,16,2,2013-10-19
50,26,40,42,40,2013-10-20
0,0,0,0,0,2013-10-21
16,9,30,9,14,2013-10-22
0,0,0,0,0,2013-10-23
0,0,0,0,0,2013-10-24
0,0,0,0,0,2013-10-25
24,17,20,10,17,2013-10-26
10,6,20,3,7,2013-10-27
15,11,10,12,11,2013-10-28
0,0,0,0,0,2013-10-29
0,0,0,0,0,2013-10-30
69,55,70,61,58,2013-10-31
0,5,80,0,7,2014-05-02
14,0,0,3,9,2014-05-03
51,35,20,66,41,2014-05-04
11,0,0,3,7,2014-05-05
0,0,0,0,0,2014-05-06
0,0,0,0,0,2014-05-07
0,0,0,0,0,2014-05-08
22,20,0,6,15,2014-05-09
32,29,50,28,26,2014-05-10
0,0,0,0,0,2014-05-11
0,0,0,0,0,2014-05-12
0,36,0,3,0,2014-05-13
0,0,0,0,0,2014-05-14
0,0,11,0,1,2014-05-15
42,97,40,65,34,2014-05-16
149,81,137,98,114,2014-05-17
0,0,0,0,0,2014-05-18
0,0,0,0,0,2014-05-19
0,0,0,0,0,2014-05-20
0,0,0,0,0,2014-05-21
32,0,0,2,21,2014-05-22
0,0,0,0,0,2014-05-23
0,0,20,0,2,2014-05-24
22,29,0,38,19,2014-05-25
37,13,20,20,25,2014-05-26
44,10,40,39,37,2014-05-27
10,0,12,2,7,2014-05-28
0,0,0,0,0,2014-05-29
7,5,20,15,2,2014-05-30
0,0,0,0,0,2014-05-31
0,0,0,0,0,2014-06-01
0,0,0,0,0,2014-06-02
130,270,110,176,144,2014-06-03
0,0,0,0,0,2014-06-04
1,0,0,0,2,2014-06-05
3,0,14,0,8,2014-06-06
0,0,0,0,0,2014-06-07
0,0,0,0,0,2014-06-08
0,0,0,0,0,2014-06-09
0,4,0,0,0,2014-06-10
7,12,0,7,10,2014-06-11
65,135,80,92,57,2014-06-12
81,57,156,109,78,2014-06-13
27,9,150,9,61,2014-06-14
0,0,10,0,0,2014-06-15
0,0,0,0,0,2014-06-16
115,175,78,150,113,2014-06-17
113,47,149,78,181,2014-06-18
0,0,0,0,0,2014-06-19
0,0,0,0,0,2014-06-20
0,0,0,0,0,2014-06-21
0,0,0,0,0,2014-06-22
0,0,0,0,0,2014-06-23
220,324,270,271,227,2014-06-24
27,0,27,0,61,2014-06-25
0,0,0,0,0,2014-06-26
0,0,0,0,0,2014-06-27
0,0,0,0,0,2014-06-28
0,0,0,0,0,2014-06-29
0,0,0,0,0,2014-06-30
0,0,0,0,0,2014-07-01
0,0,20,0,0,2014-07-02
0,0,0,0,0,2014-07-03
18,5,20,30,13,2014-07-04
13,0,0,0,30,2014-07-05
0,0,0,0,0,2014-07-06
44,36,12,64,40,2014-07-07
36,119,136,62,17,2014-07-08
2,0,0,0,5,2014-07-09
0,0,0,0,0,2014-07-10
0,0,0,0,0,2014-07-11
0,0,0,0,0,2014-07-12
50,62,20,52,63,2014-07-13
0,0,0,0,0,2014-07-14
11,15,20,18,7,2014-07-15
1,0,0,0,2,2014-07-16
0,7,0,0,0,2014-07-17
0,0,0,0,0,2014-07-18
0,0,0,0,0,2014-07-19
0,0,0,0,0,2014-07-20
0,0,0,0,0,2014-07-21
0,0,0,0,0,2014-07-22
48,54,30,54,55,2014-07-23
0,0,0,0,0,2014-07-24
0,0,0,0,0,2014-07-25
4,0,0,0,0,2014-07-26
82,49,43,52,81,2014-07-27
44,41,40,26,45,2014-07-28
2,0,0,0,0,2014-07-29
8,0,20,5,0,2014-07-30
98,144,309,106,65,2014-07-31
0,0,0,0,0,2014-08-01
0,0,0,0,0,2014-08-02
0,0,0,0,0,2014-08-03
4,0,0,0,2,2014-08-04
14,0,270,0,0,2014-08-05
4,0,0,11,5,2014-08-06
6,13,0,27,2,2014-08-07
0,0,10,2,0,2014-08-08
0,0,0,0,0,2014-08-09
0,0,0,0,0,2014-08-10
0,0,0,2,0,2014-08-11
12,5,0,0,0,2014-08-12
172,83,100,85,102,2014-08-13
0,0,0,0,0,2014-08-14
22,4,61,16,2,2014-08-15
124,61,50,58,40,2014-08-16
8,2,20,0,8,2014-08-17
0,0,0,0,0,2014-08-18
0,0,0,2,0,2014-08-19
0,0,0,0,0,2014-08-20
0,12,0,0,0,2014-08-21
0,0,11,0,0,2014-08-22
0,0,20,0,0,2014-08-23
0,0,0,0,0,2014-08-24
0,0,0,0,0,2014-08-25
0,0,0,0,0,2014-08-26
2,3,0,0,2,2014-08-27
0,0,0,0,0,2014-08-28
0,0,0,0,0,2014-08-29
0,0,0,0,0,2014-08-30
84,111,120,85,58,2014-08-31
0,2,0,0,0,2014-09-01
30,29,20,19,4,2014-09-02
2,0,10,0,0,2014-09-03
0,0,0,0,0,2014-09-04
20,66,40,20,15,2014-09-05
60,39,40,19,40,2014-09-06
0,2,0,0,0,2014-09-07
0,0,0,0,0,2014-09-08
0,0,0,0,0,2014-09-09
0,0,0,0,0,2014-09-10
36,30,30,28,20,2014-09-11
0,0,0,0,0,2014-09-12
78,77,80,70,63,2014-09-13
0,0,0,0,0,2014-09-14
0,0,0,0,0,2014-09-15
4,2,0,0,5,2014-09-16
2,4,30,0,0,2014-09-17
10,36,0,15,2,2014-09-18
0,0,0,0,0,2014-09-19
0,0,10,0,0,2014-09-20
12,39,20,24,5,2014-09-21
0,0,0,0,0,2014-09-22
8,5,0,9,2,2014-09-23
0,0,20,0,0,2014-09-24
0,0,0,0,0,2014-09-25
0,0,0,0,0,2014-09-26
0,0,0,0,0,2014-09-27
0,0,0,0,0,2014-09-28
0,0,0,0,0,2014-09-29
0,0,0,0,0,2014-09-30
0,0,0,0,0,2014-10-01
0,0,0,0,0,2014-10-02
0,0,0,0,0,2014-10-03
66,56,60,55,62,2014-10-04
2,0,0,0,2,2014-10-05
0,0,0,0,0,2014-10-06
22,79,40,12,20,2014-10-07
150,85,130,64,87,2014-10-08
6,0,10,3,10,2014-10-09
0,0,0,2,0,2014-10-10
0,0,0,0,0,2014-10-11
0,0,0,0,0,2014-10-12
0,0,0,0,0,2014-10-13
0,0,10,0,0,2014-10-14
22,19,30,35,15,2014-10-15
30,58,50,16,17,2014-10-16
2,0,0,0,0,2014-10-17
10,6,20,8,13,2014-10-18
0,0,0,0,0,2014-10-19
4,0,0,4,2,2014-10-20
8,6,0,8,7,2014-10-21
0,0,0,0,0,2014-10-22
40,28,20,33,42,2014-10-23
4,2,0,5,2,2014-10-24
46,18,50,25,38,2014-10-25
2,0,0,4,0,2014-10-26
0,0,0,0,0,2014-10-27
20,13,30,25,8,2014-10-28
10,9,10,9,10,2014-10-29
0,0,0,0,0,2014-10-30
0,0,0,0,0,2014-10-31
0,0,0,0,0,2015-05-01
0,0,0,2,0,2015-05-02
0,0,0,2,0,2015-05-03
12,10,0,7,5,2015-05-04
2,0,0,2,0,2015-05-05
0,0,10,0,0,2015-05-06
0,0,0,0,0,2015-05-07
0,0,0,0,0,2015-05-08
26,22,80,72,40,2015-05-09
2,0,0,0,0,2015-05-10
68,78,40,68,70,2015-05-11
30,20,30,52,8,2015-05-12
2,0,0,0,0,2015-05-13
0,0,0,2,0,2015-05-14
0,0,0,0,0,2015-05-15
0,0,0,0,2,2015-05-16
0,0,0,2,0,2015-05-17
234,0,150,67,114,2015-05-18
0,0,30,0,25,2015-05-19
0,0,0,0,0,2015-05-20
0,0,0,0,0,2015-05-21
2,0,10,2,2,2015-05-22
0,0,10,0,0,2015-05-23
0,0,0,2,0,2015-05-24
72,90,50,79,58,2015-05-25
52,64,10,47,48,2015-05-26
0,9,0,0,5,2015-05-27
44,75,0,30,18,2015-05-28
0,2,0,2,2,2015-05-29
36,22,150,23,20,2015-05-30
8,26,10,18,5,2015-05-31
14,13,0,12,13,2015-06-01
10,13,12,7,5,2015-06-02
0,2,0,0,0,2015-06-03
0,0,0,0,0,2015-06-04
98,96,40,40,83,2015-06-05
2,0,0,0,0,2015-06-06
0,0,0,0,0,2015-06-07
64,71,100,68,56,2015-06-08
64,32,10,36,141,2015-06-09
12,15,320,14,10,2015-06-10
2,0,0,0,0,2015-06-11
44,50,20,39,33,2015-06-12
2,2,0,0,2,2015-06-13
0,0,0,0,0,2015-06-14
2,0,0,0,5,2015-06-15
270,93,102,163,201,2015-06-16
2,0,0,0,0,2015-06-17
26,47,20,27,10,2015-06-18
0,0,0,0,0,2015-06-19
0,0,0,0,0,2015-06-20
14,156,0,115,10,2015-06-21
6,0,0,66,0,2015-06-22
42,23,51,10,2,2015-06-23
6,0,0,29,2,2015-06-24
2,2,0,2,0,2015-06-25
0,0,40,0,0,2015-06-26
0,0,0,0,0,2015-06-27
48,29,90,35,40,2015-06-28
8,3,0,0,8,2015-06-29
18,17,20,20,12,2015-06-30
118,46,110,31,98,2015-07-01
0,0,0,0,0,2015-07-02
0,0,0,0,0,2015-07-03
0,0,0,0,0,2015-07-04
0,0,0,0,0,2015-07-05
0,0,0,0,0,2015-07-06
48,74,20,2,18,2015-07-07
20,9,20,10,78,2015-07-08
0,0,0,0,0,2015-07-09
