McTavish,Bellevue,Assomption,Trudeau,StHubert,date
0,0,0,0,0,2013-05-01
0,0,0,0,0,2013-05-02
0,0,0,0,0,2013-05-03
0,0,0,0,0,2013-05-04
0,0,0,0,0,2013-05-05
0,0,0,0,0,2013-05-06
0,0,0,0,0,2013-05-07
0,0,0,0,0,2013-05-08
10,0,19,0,6,2013-05-09
0,4,20,0,2,2013-05-10
94,92,170,125,80,2013-05-11
0,0,10,0,1,2013-05-12
10,0,0,0,6,2013-05-13
0,0,0,0,0,2013-05-14
28,0,10,10,19,2013-05-15
0,0,0,0,0,2013-05-16
0,0,0,0,0,2013-05-17
0,0,0,0,0,2013-05-18
12,21,0,32,9,2013-05-19
64,19,90,38,50,2013-05-20
24,39,30,32,18,2013-05-21
26,0,0,0,17,2013-05-22
144,63,160,58,101,2013-05-23
42,48,30,48,30,2013-05-24
66,53,98,60,53,2013-05-25
73,112,110,125,64,2013-05-26
0,0,0,0,0,2013-05-27
11,0,0,0,7,2013-05-28
116,43,30,162,84,2013-05-29
0,0,0,0,0,2013-05-30
0,0,0,0,0,2013-05-31
222,93,30,117,150,2013-06-01
36,113,110,62,35,2013-06-02
0,0,0,0,0,2013-06-03
24,0,0,0,15,2013-06-04
0,0,0,0,0,2013-06-05
50,65,30,45,36,2013-06-06
63,105,110,67,53,2013-06-07
70,50,40,61,51,2013-06-08
0,0,10,0,1,2013-06-09
0,0,10,0,1,2013-06-10
233,157,240,196,176,2013-06-11
30,39,10,37,22,2013-06-12
0,0,20,0,2,2013-06-13
0,0,0,0,0,2013-06-14
0,0,0,0,0,2013-06-15
78,68,100,69,62,2013-06-16
0,0,10,0,1,2013-06-17
0,0,0,0,0,2013-06-18
0,0,0,0,0,2013-06-19
0,0,0,0,0,2013-06-20
0,0,0,0,0,2013-06-21
58,69,40,58,43,2013-06-22
0,0,0,0,0,2013-06-23
79,29,300,34,77,2013-06-24
0,97,10,40,2,2013-06-25
10,38,40,0,9,2013-06-26
0,0,0,0,0,2013-06-27
242,172,210,136,179,2013-06-28
0,0,10,0,1,2013-06-29
0,0,0,0,0,2013-06-30
0,0,0,0,0,2013-07-01
0,0,20,0,2,2013-07-02
0,0,10,0,1,2013-07-03
0,0,0,0,0,2013-07-04
0,10,0,15,1,2013-07-05
0,0,0,0,0,2013-07-06
138,55,0,69,92,2013-07-07
10,9,0,15,7,2013-07-08
0,0,0,0,0,2013-07-09
187,3,80,21,120,2013-07-10
0,0,0,0,0,2013-07-11
10,0,0,0,6,2013-07-12
0,0,0,0,0,2013-07-13
0,0,0,0,0,2013-07-14
0,0,0,0,0,2013-07-15
0,0,0,0,0,2013-07-16
240,86,20,220,165,2013-07-17
10,0,0,23,7,2013-07-18
128,271,140,175,95,2013-07-19
60,54,30,47,44,2013-07-20
0,0,0,0,0,2013-07-21
0,0,0,0,0,2013-07-22
258,16,100,92,166,2013-07-23
0,0,0,0,0,2013-07-24
0,0,0,0,0,2013-07-25
0,0,0,0,0,2013-07-26
0,0,0,0,0,2013-07-27
94,169,120,110,75,2013-07-28
66,46,0,28,44,2013-07-29
18,0,0,0,12,2013-07-30
0,0,0,0,0,2013-07-31
92,107,160,69,75,2013-08-01
0,0,0,0,0,2013-08-02
0,171,250,5,21,2013-08-03
12,0,21,0,10,2013-08-04
0,0,0,0,0,2013-08-05
0,0,0,0,0,2013-08-06
0,24,0,0,0,2013-08-07
0,0,200,0,17,2013-08-08
72,47,0,61,49,2013-08-09
0,0,0,0,0,2013-08-10
0,0,0,0,0,2013-08-11
0,0,0,0,0,2013-08-12
104,118,250,109,74,2013-08-13
48,16,10,31,33,2013-08-14
0,0,0,0,0,2013-08-15
0,0,0,0,0,2013-08-16
0,0,0,0,0,2013-08-17
0,0,10,0,1,2013-08-18
0,0,0,0,0,2013-08-19
0,0,0,0,0,2013-08-20
0,0,0,0,0,2013-08-21
158,123,60,44,106,2013-08-22
0,0,10,0,1,2013-08-23
0,0,10,0,1,2013-08-24
10,0,20,4,8,2013-08-25
60,74,20,37,42,2013-08-26
0,0,0,0,0,2013-08-27
10,0,0,42,6,2013-08-28
0,0,0,0,0,2013-08-29
138,109,120,176,106,2013-08-30
0,0,0,0,0,2013-08-31
0,0,0,0,0,2013-09-01
125,58,153,100,87,2013-09-02
10,0,0,0,6,2013-09-03
0,0,0,0,0,2013-09-04
0,0,10,0,1,2013-09-05
0,0,0,0,0,2013-09-06
0,0,0,0,0,2013-09-07
0,0,0,3,0,2013-09-08
0,0,0,0,0,2013-09-09
12,16,10,15,8,2013-09-10
38,84,50,53,28,2013-09-11
264,285,70,250,183,2013-09-12
0,38,0,30,1,2013-09-13
0,0,0,0,0,2013-09-14
12,6,0,3,8,2013-09-15
86,81,50,108,64,2013-09-16
0,0,0,0,0,2013-09-17
0,0,0,0,0,2013-09-18
0,0,0,0,0,2013-09-19
0,0,0,0,0,2013-09-20
88,55,160,83,74,2013-09-21
72,60,40,73,53,2013-09-22
0,0,0,0,0,2013-09-23
0,0,0,0,0,2013-09-24
0,0,0,0,0,2013-09-25
0,0,0,0,0,2013-09-26
0,0,0,0,0,2013-09-27
0,0,0,0,0,2013-09-28
0,0,0,0,0,2013-09-29
0,0,0,0,0,2013-09-30
0,0,0,0,0,2013-10-01
0,0,0,0,0,2013-10-02
0,0,0,0,0,2013-10-03
0,0,0,0,0,2013-10-04
0,0,0,0,0,2013-10-05
36,24,50,35,29,2013-10-06
122,64,90,82,85,2013-10-07
10,0,0,0,6,2013-10-08
0,0,10,0,1,2013-10-09
2082,0,0,0,1336,2013-10-10
0,0,0,0,0,2013-10-11
0,0,0,0,0,2013-10-12
0,0,0,0,0,2013-10-13
12,18,60,28,14,2013-10-14
0,0,0,0,0,2013-10-15
12,17,0,7,8,2013-10-16
114,78,70,113,84,2013-10-17
46,34,30,39,33,2013-10-18
0,14,0,16,1,2013-10-19
50,26,68,46,41,2013-10-20
0,0,0,0,0,2013-10-21
16,16,30,13,13,2013-10-22
0,0,0,0,0,2013-10-23
0,0,0,0,0,2013-10-24
0,0,0,0,0,2013-10-25
24,17,30,15,16,2013-10-26
10,6,20,3,6,2013-10-27
15,11,10,12,10,2013-10-28
0,0,0,0,0,2013-10-29
0,0,0,0,0,2013-10-30
117,99,100,101,88,2013-10-31
0,5,80,0,7,2014-05-02
14,0,0,5,9,2014-05-03
90,87,40,68,63,2014-05-04
11,0,0,3,7,2014-05-05
0,0,0,0,0,2014-05-06
0,0,0,0,0,2014-05-07
0,0,0,0,0,2014-05-08
22,20,0,6,14,2014-05-09
68,62,110,68,55,2014-05-10
0,0,0,0,0,2014-05-11
0,0,0,0,0,2014-05-12
0,36,0,3,0,2014-05-13
0,0,0,0,0,2014-05-14
0,0,11,0,1,2014-05-15
136,266,70,138,99,2014-05-16
300,152,251,192,222,2014-05-17
0,0,0,0,0,2014-05-18
0,0,0,0,0,2014-05-19
0,0,0,0,0,2014-05-20
0,0,0,0,0,2014-05-21
32,0,0,2,21,2014-05-22
0,0,0,0,0,2014-05-23
0,0,20,0,2,2014-05-24
22,29,0,38,16,2014-05-25
72,13,20,30,48,2014-05-26
54,10,100,39,44,2014-05-27
10,0,12,2,6,2014-05-28
0,0,0,0,0,2014-05-29
6,9,20,15,2,2014-05-30
0,0,0,0,0,2014-05-31
0,0,0,0,0,2014-06-01
0,0,0,0,0,2014-06-02
131,443,140,176,158,2014-06-03
0,0,0,0,0,2014-06-04
1,0,0,0,2,2014-06-05
3,0,14,0,8,2014-06-06
0,0,0,0,0,2014-06-07
0,0,0,0,0,2014-06-08
0,0,0,0,0,2014-06-09
0,4,0,0,0,2014-06-10
14,29,0,15,19,2014-06-11
164,259,160,258,140,2014-06-12
156,151,260,218,163,2014-06-13
33,20,160,24,61,2014-06-14
0,0,10,0,0,2014-06-15
0,0,0,0,0,2014-06-16
108,175,78,150,113,2014-06-17
122,54,162,90,209,2014-06-18
0,0,0,0,0,2014-06-19
0,0,0,0,0,2014-06-20
0,0,0,0,0,2014-06-21
0,0,0,0,0,2014-06-22
0,0,0,0,0,2014-06-23
268,378,654,317,315,2014-06-24
25,0,27,0,61,2014-06-25
0,0,0,0,0,2014-06-26
0,0,0,0,0,2014-06-27
0,0,0,0,0,2014-06-28
0,0,0,0,0,2014-06-29
0,0,0,0,0,2014-06-30
0,0,0,0,0,2014-07-01
0,0,20,0,0,2014-07-02
0,0,0,0,0,2014-07-03
17,5,20,30,13,2014-07-04
12,0,0,0,30,2014-07-05
0,0,0,0,0,2014-07-06
48,46,12,72,50,2014-07-07
40,119,276,62,19,2014-07-08
2,0,0,0,5,2014-07-09
0,0,0,0,0,2014-07-10
0,0,0,0,0,2014-07-11
0,0,0,0,0,2014-07-12
50,62,20,52,71,2014-07-13
0,0,0,0,0,2014-07-14
10,15,40,18,7,2014-07-15
1,0,0,0,2,2014-07-16
0,7,0,0,0,2014-07-17
0,0,0,0,0,2014-07-18
0,0,0,0,0,2014-07-19
0,0,0,0,0,2014-07-20
0,0,0,0,0,2014-07-21
0,0,0,0,0,2014-07-22
72,89,40,113,67,2014-07-23
0,0,0,0,0,2014-07-24
0,0,0,0,0,2014-07-25
4,0,0,0,0,2014-07-26
144,68,43,91,111,2014-07-27
76,77,60,49,94,2014-07-28
2,0,0,0,0,2014-07-29
8,0,20,5,0,2014-07-30
144,150,359,123,117,2014-07-31
0,0,0,0,0,2014-08-01
0,0,0,0,0,2014-08-02
0,0,0,0,0,2014-08-03
4,0,0,0,2,2014-08-04
14,0,270,0,0,2014-08-05
4,0,0,11,5,2014-08-06
6,13,0,43,2,2014-08-07
0,0,10,2,0,2014-08-08
0,0,0,0,0,2014-08-09
0,0,0,0,0,2014-08-10
0,0,0,2,0,2014-08-11
12,5,0,0,0,2014-08-12
282,129,199,209,171,2014-08-13
0,0,0,0,0,2014-08-14
46,7,100,27,2,2014-08-15
164,126,120,113,61,2014-08-16
12,2,20,0,10,2014-08-17
0,0,0,0,0,2014-08-18
0,0,0,2,0,2014-08-19
0,0,0,0,0,2014-08-20
0,12,0,0,0,2014-08-21
0,0,11,0,0,2014-08-22
0,0,20,0,0,2014-08-23
0,0,0,0,0,2014-08-24
0,0,0,0,0,2014-08-25
0,0,0,0,0,2014-08-26
2,3,0,0,2,2014-08-27
0,0,0,0,0,2014-08-28
0,0,0,0,0,2014-08-29
0,0,0,0,0,2014-08-30
96,114,120,92,70,2014-08-31
0,2,0,0,0,2014-09-01
46,56,40,33,6,2014-09-02
2,0,10,0,0,2014-09-03
0,0,0,0,0,2014-09-04
36,114,40,20,23,2014-09-05
110,72,70,36,84,2014-09-06
0,2,0,0,0,2014-09-07
0,0,0,0,0,2014-09-08
0,0,0,0,0,2014-09-09
0,0,0,0,0,2014-09-10
52,49,60,43,35,2014-09-11
0,0,0,0,0,2014-09-12
138,112,100,109,91,2014-09-13
0,0,0,0,0,2014-09-14
0,0,0,0,0,2014-09-15
6,4,0,0,7,2014-09-16
4,7,30,0,0,2014-09-17
10,38,0,15,4,2014-09-18
0,0,0,0,0,2014-09-19
0,0,10,0,0,2014-09-20
18,43,20,32,7,2014-09-21
0,0,0,0,0,2014-09-22
8,7,0,9,2,2014-09-23
0,0,20,0,0,2014-09-24
0,0,0,0,0,2014-09-25
0,0,0,0,0,2014-09-26
0,0,0,0,0,2014-09-27
0,0,0,0,0,2014-09-28
0,0,0,0,0,2014-09-29
0,0,0,0,0,2014-09-30
0,0,0,0,0,2014-10-01
0,0,0,0,0,2014-10-02
0,0,0,0,0,2014-10-03
132,86,120,94,111,2014-10-04
4,0,0,0,2,2014-10-05
0,0,0,0,0,2014-10-06
42,97,70,21,28,2014-10-07
258,140,150,136,203,2014-10-08
8,0,10,3,10,2014-10-09
0,0,0,2,0,2014-10-10
0,0,0,0,0,2014-10-11
0,0,0,0,0,2014-10-12
0,0,0,0,0,2014-10-13
0,0,10,0,0,2014-10-14
22,19,30,35,17,2014-10-15
38,58,50,32,35,2014-10-16
2,0,0,0,0,2014-10-17
12,7,20,8,25,2014-10-18
0,0,0,0,0,2014-10-19
4,0,0,4,2,2014-10-20
18,11,0,11,11,2014-10-21
0,0,0,0,0,2014-10-22
46,30,40,33,47,2014-10-23
6,2,0,7,4,2014-10-24
50,24,60,31,46,2014-10-25
2,0,0,6,0,2014-10-26
0,0,0,0,0,2014-10-27
20,13,30,25,10,2014-10-28
12,9,10,11,12,2014-10-29
0,0,0,0,0,2014-10-30
0,0,0,0,0,2014-10-31
0,0,0,0,0,2015-05-01
0,0,0,2,0,2015-05-02
0,0,0,2,0,2015-05-03
18,12,0,7,7,2015-05-04
2,0,0,2,0,2015-05-05
0,0,10,0,0,2015-05-06
0,0,0,0,0,2015-05-07
0,0,0,0,0,2015-05-08
50,22,80,84,40,2015-05-09
2,0,0,0,0,2015-05-10
148,104,80,139,140,2015-05-11
62,23,30,71,15,2015-05-12
2,0,0,0,0,2015-05-13
0,0,0,2,0,2015-05-14
0,0,0,0,0,2015-05-15
0,0,0,0,2,2015-05-16
0,0,0,4,0,2015-05-17
318,0,290,90,159,2015-05-18
0,0,30,0,25,2015-05-19
0,0,0,0,0,2015-05-20
0,0,0,0,0,2015-05-21
2,0,10,2,4,2015-05-22
0,0,10,0,0,2015-05-23
0,0,0,2,0,2015-05-24
184,185,170,170,148,2015-05-25
52,64,10,47,48,2015-05-26
0,9,0,0,5,2015-05-27
44,79,0,30,18,2015-05-28
0,2,0,2,2,2015-05-29
36,22,160,23,22,2015-05-30
22,40,10,30,14,2015-05-31
24,19,0,18,22,2015-06-01
32,35,12,7,9,2015-06-02
0,2,0,0,0,2015-06-03
0,0,0,0,0,2015-06-04
98,96,40,44,83,2015-06-05
2,0,0,0,0,2015-06-06
0,0,0,0,0,2015-06-07
178,163,160,135,147,2015-06-08
122,48,10,77,195,2015-06-09
30,39,320,24,20,2015-06-10
2,0,0,0,0,2015-06-11
98,129,30,106,82,2015-06-12
2,2,0,0,2,2015-06-13
0,0,0,0,0,2015-06-14
2,0,0,0,5,2015-06-15
302,172,180,234,221,2015-06-16
2,0,0,0,0,2015-06-17
40,57,20,36,20,2015-06-18
0,0,0,0,0,2015-06-19
0,0,0,0,0,2015-06-20
14,165,0,194,10,2015-06-21
12,0,0,66,0,2015-06-22
48,33,90,13,6,2015-06-23
6,0,0,29,2,2015-06-24
2,2,0,2,0,2015-06-25
0,0,40,0,0,2015-06-26
0,0,0,0,0,2015-06-27
120,79,130,94,85,2015-06-28
12,3,0,0,10,2015-06-29
22,36,45,25,14,2015-06-30
194,77,170,77,188,2015-07-01
0,0,0,0,0,2015-07-02
0,0,0,0,0,2015-07-03
0,0,0,0,0,2015-07-04
0,0,0,0,0,2015-07-05
0,0,0,0,0,2015-07-06
58,97,20,2,20,2015-07-07
32,13,20,15,82,2015-07-08
0,0,0,0,0,2015-07-09
