date,McTavish,Bellevue,Assomption,Trudeau,StHubert
2013-05-01,0,0,0,0,0
2013-05-02,0,0,0,0,0
2013-05-03,0,0,0,0,0
2013-05-04,0,0,0,0,0
2013-05-05,0,0,0,0,0
2013-05-06,0,0,0,0,0
2013-05-07,0,0,0,0,0
2013-05-08,0,0,0,0,0
2013-05-09,10,0,19,0,6
2013-05-10,0,4,20,0,2
2013-05-11,39,33,60,57,29
2013-05-12,0,0,10,0,1
2013-05-13,10,0,0,0,6
2013-05-14,0,0,0,0,0
2013-05-15,16,0,10,10,11
2013-05-16,0,0,0,0,0
2013-05-17,0,0,0,0,0
2013-05-18,0,0,0,0,0
2013-05-19,12,11,0,14,7
2013-05-20,27,12,50,17,19
2013-05-21,16,28,30,21,10
2013-05-22,26,0,0,0,16
2013-05-23,144,63,80,54,89
2013-05-24,26,12,20,15,18
2013-05-25,22,13,30,18,16
2013-05-26,25,20,30,24,19
2013-05-27,0,0,0,0,0
2013-05-28,11,0,0,0,7
2013-05-29,75,43,30,67,47
2013-05-30,0,0,0,0,0
2013-05-31,0,0,0,0,0
2013-06-01,180,93,20,100,115
2013-06-02,25,63,80,35,25
2013-06-03,0,0,0,0,0
2013-06-04,24,0,0,0,15
2013-06-05,0,0,0,0,0
2013-06-06,18,16,20,9,11
2013-06-07,20,32,31,17,15
2013-06-08,26,27,19,23,17
2013-06-09,0,0,10,0,1
2013-06-10,0,0,10,0,1
2013-06-11,50,35,50,50,37
2013-06-12,16,15,10,16,10
2013-06-13,0,0,20,0,2
2013-06-14,0,0,0,0,0
2013-06-15,0,0,0,0,0
2013-06-16,42,27,30,31,30
2013-06-17,0,0,10,0,1
2013-06-18,0,0,0,0,0
2013-06-19,0,0,0,0,0
2013-06-20,0,0,0,0,0
2013-06-21,0,0,0,0,0
2013-06-22,20,20,30,21,15
2013-06-23,0,0,0,0,0
2013-06-24,44,15,259,19,48
2013-06-25,0,94,10,40,2
2013-06-26,10,38,40,0,6
2013-06-27,0,0,0,0,0
2013-06-28,113,68,104,74,76
2013-06-29,0,0,10,0,1
2013-06-30,0,0,0,0,0
2013-07-01,0,0,0,0,0
2013-07-02,0,0,20,0,2
2013-07-03,0,0,10,0,1
2013-07-04,0,0,0,0,0
2013-07-05,0,10,0,15,1
2013-07-06,0,0,0,0,0
2013-07-07,126,36,0,43,79
2013-07-08,10,6,0,7,6
2013-07-09,0,0,0,0,0
2013-07-10,176,3,60,8,108
2013-07-11,0,0,0,0,0
2013-07-12,10,0,0,0,6
2013-07-13,0,0,0,0,0
2013-07-14,0,0,0,0,0
2013-07-15,0,0,0,0,0
2013-07-16,0,0,0,0,0
2013-07-17,240,82,20,210,155
2013-07-18,10,0,0,20,6
2013-07-19,58,167,78,74,39
2013-07-20,48,54,20,47,31
2013-07-21,0,0,0,0,0
2013-07-22,0,0,0,0,0
2013-07-23,258,11,100,67,158
2013-07-24,0,0,0,0,0
2013-07-25,0,0,0,0,0
2013-07-26,0,0,0,0,0
2013-07-27,0,0,0,0,0
2013-07-28,50,66,70,48,35
2013-07-29,66,30,0,28,42
2013-07-30,18,0,0,0,11
2013-07-31,0,0,0,0,0
2013-08-01,80,91,140,69,66
2013-08-02,0,0,0,0,0
2013-08-03,0,171,156,5,16
2013-08-04,12,0,11,0,7
2013-08-05,0,0,0,0,0
2013-08-06,0,0,0,0,0
2013-08-07,0,21,0,0,0
2013-08-08,0,0,175,0,18
2013-08-09,72,47,0,61,46
2013-08-10,0,0,0,0,0
2013-08-11,0,0,0,0,0
2013-08-12,0,0,0,0,0
2013-08-13,47,91,139,67,31
2013-08-14,36,9,10,16,23
2013-08-15,0,0,0,0,0
2013-08-16,0,0,0,0,0
2013-08-17,0,0,0,0,0
2013-08-18,0,0,10,0,1
2013-08-19,0,0,0,0,0
2013-08-20,0,0,0,0,0
2013-08-21,0,0,0,0,0
2013-08-22,91,95,30,20,58
2013-08-23,0,0,10,0,1
2013-08-24,0,0,10,0,1
2013-08-25,10,0,20,4,8
2013-08-26,42,51,10,26,28
2013-08-27,0,0,0,0,0
2013-08-28,10,0,0,42,6
2013-08-29,0,0,0,0,0
2013-08-30,80,46,40,103,57
2013-08-31,0,0,0,0,0
2013-09-01,0,0,0,0,0
2013-09-02,125,25,93,96,80
2013-09-03,10,0,0,0,6
2013-09-04,0,0,0,0,0
2013-09-05,0,0,10,0,1
2013-09-06,0,0,0,0,0
2013-09-07,0,0,0,0,0
2013-09-08,0,0,0,3,0
2013-09-09,0,0,0,0,0
2013-09-10,12,7,10,8,7
2013-09-11,38,84,32,53,23
2013-09-12,99,81,30,78,64
2013-09-13,0,29,0,25,1
2013-09-14,0,0,0,0,0
2013-09-15,12,6,0,3,7
2013-09-16,48,39,30,70,33
2013-09-17,0,0,0,0,0
2013-09-18,0,0,0,0,0
2013-09-19,0,0,0,0,0
2013-09-20,0,0,0,0,0
2013-09-21,34,19,50,25,25
2013-09-22,32,30,20,38,20
2013-09-23,0,0,0,0,0
2013-09-24,0,0,0,0,0
2013-09-25,0,0,0,0,0
2013-09-26,0,0,0,0,0
2013-09-27,0,0,0,0,0
2013-09-28,0,0,0,0,0
2013-09-29,0,0,0,0,0
2013-09-30,0,0,0,0,0
2013-10-01,0,0,0,0,0
2013-10-02,0,0,0,0,0
2013-10-03,0,0,0,0,0
2013-10-04,0,0,0,0,0
2013-10-05,0,0,0,0,0
2013-10-06,22,18,30,26,17
2013-10-07,64,39,50,50,44
2013-10-08,10,0,0,0,6
2013-10-09,0,0,10,0,1
2013-10-10,2082,0,0,0,1274
2013-10-11,0,0,0,0,0
2013-10-12,0,0,0,0,0
2013-10-13,0,0,0,0,0
2013-10-14,12,11,50,15,9
2013-10-15,0,0,0,0,0
2013-10-16,12,8,0,7,7
2013-10-17,71,42,70,53,53
2013-10-18,18,22,30,27,14
2013-10-19,0,14,0,16,1
2013-10-20,31,16,20,28,22
2013-10-21,0,0,0,0,0
2013-10-22,16,9,30,5,13
2013-10-23,0,0,0,0,0
2013-10-24,0,0,0,0,0
2013-10-25,0,0,0,0,0
2013-10-26,14,11,10,7,10
2013-10-27,10,6,20,3,6
2013-10-28,15,6,10,6,9
2013-10-29,0,0,0,0,0
2013-10-30,0,0,0,0,0
2013-10-31,39,29,40,33,29
2014-05-01,21,44,131,20,16
2014-05-02,0,3,80,0,8
2014-05-03,14,0,0,3,9
2014-05-04,36,35,20,44,24
2014-05-05,11,0,0,3,7
2014-05-06,0,0,0,0,0
2014-05-07,0,0,0,0,0
2014-05-08,0,0,0,0,0
2014-05-09,22,20,0,6,14
2014-05-10,32,17,50,18,22
2014-05-11,0,0,0,0,0
2014-05-12,0,0,0,0,0
2014-05-13,0,25,0,3,0
2014-05-14,0,0,0,0,0
2014-05-15,0,0,11,0,1
2014-05-16,22,60,20,40,17
2014-05-17,90,41,78,67,64
2014-05-18,0,0,0,0,0
2014-05-19,0,0,0,0,0
2014-05-20,0,0,0,0,0
2014-05-21,0,0,0,0,0
2014-05-22,32,0,0,2,20
2014-05-23,0,0,0,0,0
2014-05-24,0,0,20,0,2
2014-05-25,22,29,0,35,14
2014-05-26,37,13,20,11,23
2014-05-27,44,10,40,39,32
2014-05-28,10,0,12,2,6
2014-05-29,0,0,0,0,0
2014-05-30,6,5,20,15,2
2014-05-31,0,0,0,0,0
2014-06-01,0,0,0,0,0
2014-06-02,0,0,0,0,0
